1,1,117
2,2,128
3,3,16
4,4,35
5,5,59
6,6,3
7,7,75
8,8,21
9,9,130
10,10,35
11,11,56
12,12,125
13,13,135
14,14,1
15,15,112
16,16,46
17,17,56
18,18,116
19,19,41
20,20,93
21,21,42
22,22,141
23,23,13
24,24,250
25,25,56
26,26,109
27,27,99
28,28,85
29,29,112
30,30,120
31,31,32
32,32,135
33,33,108
34,34,124
35,35,92
36,36,65
37,37,67
38,38,125
39,39,51
40,40,62
41,41,13
42,42,4
43,43,73
44,44,140
45,45,136
46,46,2
47,47,123
48,48,145
49,49,82
50,50,127
51,51,78
52,52,83
53,53,125
54,54,40
55,55,142
56,56,7
57,57,42
58,58,125
59,59,139
60,60,58
61,61,80
62,62,72
63,63,25
64,64,147
65,65,4
66,66,28
67,67,120
68,68,115
69,69,92
70,70,18
